number,title,milestone,cluster,merged_prs,graphql_error,suggest
888,impl(remediation)(M6): subsystem authority and contract-spec sync track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
887,impl(remediation)(M6): canonical architecture and codified-context sync track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
886,impl(remediation)(M6): milestone and workflow governance sync track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
885,impl(remediation)(M6): onboarding and package discoverability cleanup track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
884,impl(remediation)(M6): bootstrap and governance gate,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
883,impl(remediation)(M5): authoritative seam contract verification track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
882,impl(remediation)(M5): admin-surface integration and shared-boundary verification track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
881,impl(remediation)(M5): lower-layer placement and collaborator isolation cleanup track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
880,impl(remediation)(M5): foundation harness and stable-seam cleanup track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
879,impl(remediation)(M5): bootstrap and verification gate,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
878,impl(remediation)(M4): API and entity-system public surface alignment track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
877,impl(remediation)(M4): foundation provider authority recovery track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
876,impl(remediation)(M4): admin-surface boundary authority recovery track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
875,impl(remediation)(M4): bootstrap and authority-decision gate,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
858,audit(dx-tooling)(cross-layer): implemented CLI operator and scaffolding commands are missing from the registered console surface,Track 1 — Entity system & hydration,other,,,verify_ac
857,audit(dx-tooling)(cross-layer): package-local discoverability is uneven because many active packages have no README surface,Track 1 — Entity system & hydration,other,,,verify_ac
856,audit(dx-tooling)(cross-layer): the root workflow surface lacks a unified verification entry point for the full monorepo,Track 1 — Entity system & hydration,other,,,verify_ac
855,audit(dx-tooling)(cross-layer): composer dev couples two long-running processes through a brittle shell one-liner,Track 1 — Entity system & hydration,other,,,verify_ac
854,audit(dx-tooling)(cross-layer): package discovery tooling is not the authoritative registration path for active command and route surfaces,Track 1 — Entity system & hydration,other,,,verify_ac
852,audit(docs-governance)(cross-layer): workflow milestone table no longer reflects the repos actual GitHub roadmap,Track 1 — Entity system & hydration,other,,,verify_ac
851,audit(docs-governance)(L6-interfaces): admin-surface documentation splits authority between the contract package and a contradictory subsystem spec,Track 1 — Entity system & hydration,other,,,verify_ac
850,audit(docs-governance)(cross-layer): codified context does not cover the full active subsystem surface or authoritative ownership,Track 1 — Entity system & hydration,other,,,verify_ac
849,audit(docs-governance)(cross-layer): subsystem specs continue to present stale public contracts as authoritative sources,Track 1 — Entity system & hydration,other,,,verify_ac
848,audit(docs-governance)(cross-layer): canonical architecture documents publish an incomplete framework package topology,Track 1 — Entity system & hydration,other,,,verify_ac
847,audit(testing)(L0-foundation): foundation unit suites import higher-layer collaborators instead of testing through lower-layer seams,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
846,audit(testing)(L6-interfaces): admin-surface route and host wiring has package-local unit tests but no root integration coverage,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
845,audit(testing)(L0-foundation): kernel unit tests rely on reflection and private state instead of stable public seams,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
844,audit(testing)(L4-api): serializer and schema field-access tests do not cover invalid partial access-context states,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
843,"audit(testing)(L0-foundation): foundation tests do not verify service-provider hook coherence across interface, base class, and kernel call sites",Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
842,audit(testing)(L6-interfaces): admin-surface integration boundary lacks shared contract-verification tests for session and catalog payload shape,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
841,audit(contracts)(L4-api): JsonApiRouteProvider contract omits the public api.discovery route and ApiDiscoveryController surface,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
840,audit(contracts)(L6-interfaces): admin-surface catalog contract omits description emitted by backend and consumed by SPA runtime,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
839,audit(contracts)(L6-interfaces): admin-surface session contract omits email verification state used by backend and SPA runtime,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
838,audit(contracts)(L0-foundation): ServiceProviderInterface omits documented extension hooks invoked by kernel call sites,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
837,audit(contracts)(L1-core-data): entity-system spec publishes outdated RevisionableStorageInterface signatures,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
836,audit(contracts)(L6-interfaces): admin-surface host extension surface is bound to concrete EntityTypeManager rather than the entity manager interface,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
835,audit(contracts)(L1-core-data): entity-system spec omits public EntityTypeManagerInterface registration methods,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
834,audit(contracts)(L4-api): paired-nullable access context is documented but unenforced in ResourceSerializer and SchemaPresenter,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
833,audit(contracts)(L0-foundation): ServiceProvider extension hooks expose concrete EntityTypeManager instead of the public interface surface,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
832,audit(contracts)(L4-api): access-control and API specs place AccessChecker in routing while the public class lives in access,Track 1 — Entity system & hydration,audit_contracts_testing,,,verify_ac
831,audit(boundaries)(L6-interfaces): admin-surface provider rebuilds core access wiring from manifest storage,Track 1 — Entity system & hydration,other,,,verify_ac
830,audit(boundaries)(L0-foundation): EventListenerRegistrar carries multi-layer orchestration outside the named kernel exemption,Track 1 — Entity system & hydration,other,,,verify_ac
829,audit(boundaries)(L1-core-data): user package reaches into interface-layer SSR through provider wiring,Track 1 — Entity system & hydration,other,,,verify_ac
828,audit(boundaries)(cross-layer): provider resolver enables synchronous cross-provider coupling outside documented upward seams,Track 1 — Entity system & hydration,other,,,verify_ac
827,audit(boundaries)(L0-foundation): extracted kernel bootstrappers carry cross-layer imports outside the documented kernel exemption,Track 1 — Entity system & hydration,other,,,verify_ac
825,audit(boundaries)(cross-layer): composer package topology exceeds documented layer model,Track 1 — Entity system & hydration,other,,,verify_ac
824,audit(boundaries)(L6-interfaces): admin is modeled as a layer package but implemented outside the Composer package graph,Track 1 — Entity system & hydration,other,,,verify_ac
796,Manifest cache: fingerprint + root extra merge on load,Track 3 — Parity & performance,other,"PR#1169: feat(perf): milestone 45 query optimization (#584–#588, #796",,verify_ac
795,Ensure entity system supports JSON and timestamp field types,Track 1 — Entity system & hydration,other,,,verify_ac
728,chore: register waaseyaa/oauth-provider on Packagist,Track 3 — Parity & performance,other,,,verify_ac
702,Add messaging infrastructure package (waaseyaa/messaging),Track 3 — Parity & performance,other,PR#714: feat(user): add AuthMailer + wire all Batch 2 services — Ref,,verify_ac
701,Add engagement entities package (waaseyaa/engagement),Track 3 — Parity & performance,other,PR#596: refactor: swap Minoo engagement/messaging for framework pack | PR#717: fix(engagement): skip reaction type validation when no allow,,verify_ac
698,Add UploadService to waaseyaa/media,Track 3 — Parity & performance,other,,,verify_ac
697,Add flash messaging to framework (waaseyaa/flash or waaseyaa/ssr),Track 3 — Parity & performance,other,PR#1166: feat(#798): consolidate mail on MailerInterface and SendGrid,,verify_ac
694,Add Mercure publisher package (waaseyaa/mercure),Track 3 — Parity & performance,other,PR#709: feat(mercure): new package with MercurePublisher for real-ti,,verify_ac
628,feat: webhook handling abstraction (signature verification + payload routing),Track 3 — Parity & performance,other,,,verify_ac
623,"feat: ai-agent kernel extensions — planning, routing, reflection, multi-agent",Track 2 — Bimaaji & agentic,other,,,verify_ac
621,"feat: ai-guardrails package — permissions, safety, and assurance",Track 2 — Bimaaji & agentic,other,,,verify_ac
620,"feat: ai-memory package — conversation, semantic, and episodic memory",Track 2 — Bimaaji & agentic,other,,,verify_ac
619,epic: Waaseyaa Native Agentic Framework,Track 2 — Bimaaji & agentic,other,,,verify_ac
595,feat: add content moderation / editorial workflow support,Track 3 — Parity & performance,other,,,verify_ac
594,feat: add Form API or form handling abstraction,Track 3 — Parity & performance,other,,,verify_ac
593,feat: add factory/seeder framework for development and testing,Track 3 — Parity & performance,other,,,verify_ac
592,feat: add notification system (multi-channel),Track 3 — Parity & performance,other,,,verify_ac
591,feat: add task scheduling / cron system,Track 3 — Parity & performance,other,PR#1287: feat(#1283): authorization code repository,,verify_ac
590,feat: add OAuth2/OIDC provider support,Track 3 — Parity & performance,other,,,verify_ac
589,feat: add Redis and Memcached cache backends,Track 3 — Parity & performance,other,,,verify_ac
588,perf: replace in-memory array pagination in RelationshipDiscoveryService,Track 3 — Parity & performance,other,"PR#1169: feat(perf): milestone 45 query optimization (#584–#588, #796",,verify_ac
587,perf: add DataLoader pattern for GraphQL nested field resolution,Track 3 — Parity & performance,other,"PR#1169: feat(perf): milestone 45 query optimization (#584–#588, #796",,verify_ac
586,perf: add query result caching to SqlEntityQuery,Track 3 — Parity & performance,other,"PR#1169: feat(perf): milestone 45 query optimization (#584–#588, #796",,verify_ac
585,perf: add eager loading support to EntityRepository,Track 3 — Parity & performance,other,"PR#1169: feat(perf): milestone 45 query optimization (#584–#588, #796",,verify_ac
584,perf: fix N+1 queries in EntityReferenceItem resolution,Track 3 — Parity & performance,other,"PR#1169: feat(perf): milestone 45 query optimization (#584–#588, #796",,verify_ac
529,Schema Evolution v2.0,Track 4 — Schema evolution,other,,,verify_ac
